Unnamed: 0,AvgSpeed,Country,DangerLvl,NoAccidents,NoFatalities,NoJourneys,PoliceActivity,RoadCond,Season,Weather,Weekend
2,high,UK,low,low,high,low,regular,bad,winter,bad,working
4,high,US,low,low,high,low,regular,bad,spring,bad,weekend
5,low,UK,low,low,low,medium,regular,bad,winter,bad,working
6,low,UK,low,low,medium,low,regular,bad,winter,good,working
7,low,US,low,medium,low,medium,regular,good,fall,good,working
10,high,US,low,medium,high,medium,regular,bad,spring,bad,working
12,high,UK,low,high,medium,low,regular,good,fall,good,working
13,low,Europe,low,medium,low,medium,increased,bad,spring,bad,working
14,high,Europe,low,medium,low,medium,regular,good,fall,good,working
15,high,UK,low,low,medium,medium,regular,good,summer,good,working
16,high,UK,low,high,high,medium,regular,good,fall,bad,holiday
17,high,US,low,low,low,medium,regular,good,fall,good,working
19,low,Europe,low,low,low,medium,regular,bad,winter,bad,working
20,high,US,low,low,low,low,regular,good,fall,good,weekend
21,low,US,low,high,medium,medium,regular,good,fall,good,working
22,low,Europe,low,low,low,medium,regular,bad,spring,bad,working
23,low,UK,low,low,low,medium,regular,good,fall,good,working
24,high,Europe,low,medium,medium,low,regular,good,fall,good,working
25,low,Europe,low,medium,medium,medium,regular,bad,summer,good,working
26,low,Europe,low,high,medium,medium,regular,good,summer,good,working
28,low,Europe,low,medium,high,medium,regular,good,summer,good,weekend
29,low,Europe,low,high,medium,medium,regular,bad,winter,good,working
30,high,Europe,low,low,high,medium,regular,good,spring,good,weekend
32,low,Europe,low,low,low,medium,regular,bad,winter,bad,working
34,high,Europe,low,low,low,medium,regular,good,spring,good,working
35,high,UK,low,medium,low,low,regular,good,fall,good,working
36,high,Europe,low,high,medium,low,regular,good,spring,good,weekend
38,high,Europe,low,high,high,low,regular,good,fall,bad,working
40,low,UK,low,medium,high,medium,increased,good,summer,good,working
41,low,Europe,low,medium,high,medium,regular,bad,spring,bad,working
42,high,US,low,low,low,medium,regular,good,summer,good,working
43,low,Europe,low,medium,high,medium,regular,good,spring,good,working
46,high,US,low,high,high,medium,regular,bad,spring,bad,working
47,low,Europe,low,low,low,medium,regular,bad,fall,good,working
50,high,UK,low,medium,low,low,regular,good,winter,good,working
52,low,UK,low,low,low,medium,regular,bad,winter,bad,working
53,low,Europe,low,low,high,low,regular,bad,spring,bad,working
55,high,US,low,low,low,medium,regular,good,winter,bad,weekend
